Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0.0
1/23/20,0,0,0.0
1/24/20,0,0,0.0
1/25/20,0,0,0.0
1/26/20,0,0,0.0
1/27/20,0,0,0.0
1/28/20,0,0,0.0
1/29/20,0,0,0.0
1/30/20,0,0,0.0
1/31/20,2,0,0.0
2/1/20,2,0,0.0
2/2/20,2,0,0.0
2/3/20,2,0,0.0
2/4/20,2,0,0.0
2/5/20,2,0,0.0
2/6/20,2,0,0.0
2/7/20,2,0,0.0
2/8/20,2,0,0.0
2/9/20,2,0,0.0
2/10/20,2,0,0.0
2/11/20,2,0,0.0
2/12/20,2,0,2.0
2/13/20,2,0,2.0
2/14/20,2,0,2.0
2/15/20,2,0,2.0
2/16/20,2,0,2.0
2/17/20,2,0,2.0
2/18/20,2,0,2.0
2/19/20,2,0,2.0
2/20/20,2,0,2.0
2/21/20,2,0,2.0
2/22/20,2,0,2.0
2/23/20,2,0,2.0
2/24/20,2,0,2.0
2/25/20,2,0,2.0
2/26/20,2,0,2.0
2/27/20,2,0,2.0
2/28/20,2,0,2.0
2/29/20,2,0,2.0
3/1/20,2,0,2.0
3/2/20,3,0,2.0
3/3/20,3,0,2.0
3/4/20,3,0,2.0
3/5/20,4,0,2.0
3/6/20,13,0,2.0
3/7/20,13,0,2.0
3/8/20,17,0,3.0
3/9/20,17,0,3.0
3/10/20,20,0,3.0
3/11/20,20,0,3.0
3/12/20,28,0,3.0
3/13/20,45,0,3.0
3/14/20,59,0,8.0
3/15/20,63,0,8.0
3/16/20,90,0,8.0
3/17/20,114,0,8.0
3/18/20,147,0,8.0
3/19/20,199,1,9.0
3/20/20,253,1,9.0
3/21/20,306,1,12.0
3/22/20,367,1,16.0
3/23/20,438,1,16.0
3/24/20,495,1,22.0
3/25/20,658,3,29.0
3/26/20,840,3,38.0
3/27/20,1036,4,45.0
3/28/20,1264,4,49.0
3/29/20,1534,8,64.0
3/30/20,1836,9,66.0
3/31/20,2337,17,121.0
4/1/20,2777,24,190.0
4/2/20,3548,30,235.0
4/3/20,4149,34,281.0
4/4/20,4731,43,333.0
4/5/20,5389,45,355.0
4/6/20,6343,47,406.0
4/7/20,7497,58,494.0
4/8/20,8672,63,580.0
4/9/20,10131,76,698.0
4/10/20,11917,94,795.0
